city,state,confirmed,deaths,estimated_population_2019
Amapá,AP,1424,13,9109.0
Calçoene,AP,1852,14,11117.0
Cutias,AP,874,7,5983.0
Ferreira Gomes,AP,1566,7,7780.0
Itaubal,AP,550,3,5503.0
Laranjal do Jari,AP,8401,95,50410.0
Macapá,AP,61993,1500,503327.0
Mazagão,AP,3195,24,21632.0
Oiapoque,AP,6430,51,27270.0
Pedra Branca do Amapari,AP,3514,13,16502.0
Porto Grande,AP,2115,27,21971.0
Pracuúba,AP,393,6,5120.0
Santana,AP,26116,201,121364.0
Serra do Navio,AP,1336,5,5397.0
Tartarugalzinho,AP,1966,14,17315.0
Vitória do Jari,AP,3937,28,15931.0
Acrelândia,AC,1796,37,15256.0
Assis Brasil,AC,1827,24,7417.0
Brasiléia,AC,3000,44,26278.0
Bujari,AC,1144,17,10266.0
Capixaba,AC,675,17,11733.0
Cruzeiro do Sul,AC,7903,168,88376.0
Epitaciolândia,AC,1581,36,18411.0
Feijó,AC,3338,63,34780.0
Jordão,AC,706,2,8317.0
Manoel Urbano,AC,907,14,9459.0
Marechal Thaumaturgo,AC,1359,13,18867.0
Mâncio Lima,AC,2992,32,18977.0
Plácido de Castro,AC,1791,20,19761.0
Porto Acre,AC,1553,38,18504.0
Porto Walter,AC,551,6,11982.0
Rio Branco,AC,38206,1090,407319.0
Rodrigues Alves,AC,1016,14,18930.0
Santa Rosa do Purus,AC,1014,7,6540.0
Sena Madureira,AC,5876,83,45848.0
Senador Guiomard,AC,1205,42,23024.0
Tarauacá,AC,6589,47,42567.0
Xapuri,AC,3031,31,19323.0
Alvarães,AM,2908,46,16041.0
Amaturá,AM,2403,18,11536.0
Anamã,AM,2046,10,13614.0
Anori,AM,1930,33,21010.0
Apuí,AM,1577,33,21973.0
Atalaia do Norte,AM,2855,10,19921.0
Autazes,AM,3223,96,39565.0
Barcelos,AM,4501,60,27502.0
Barreirinha,AM,2619,64,32041.0
Benjamin Constant,AM,2892,88,42984.0
Beruri,AM,2296,34,19679.0
Boa Vista do Ramos,AM,1239,13,19207.0
Boca do Acre,AM,2678,27,34308.0
Borba,AM,2523,70,41161.0
Caapiranga,AM,706,22,13081.0
Canutama,AM,1475,10,15629.0
Carauari,AM,6732,57,28294.0
Careiro,AM,4600,87,37869.0
Careiro da Várzea,AM,1028,25,30225.0
Coari,AM,9678,236,85097.0
Codajás,AM,2647,25,28637.0
Eirunepé,AM,4218,34,35273.0
Envira,AM,2717,13,20033.0
Fonte Boa,AM,1628,44,17609.0
Guajará,AM,1696,29,16678.0
Humaitá,AM,8176,151,55080.0
Ipixuna,AM,5505,19,29689.0
Iranduba,AM,9010,168,48296.0
Itacoatiara,AM,10901,316,101337.0
Itamarati,AM,965,9,7851.0
Itapiranga,AM,3097,43,9148.0
Japurá,AM,1051,11,2755.0
Juruá,AM,1014,16,14712.0
Jutaí,AM,4065,36,14317.0
Lábrea,AM,7061,80,46069.0
